행정구역명,TP_BUZ_NO,업소수
강원특별자치도 원주시,8001,3353
강원특별자치도 원주시,8004,149
강원특별자치도 원주시,8005,269
강원특별자치도 원주시,8006,1482
강원특별자치도 원주시,8021,736
강원특별자치도 원주시,8301,339
강원특별자치도 인제군,4010,55
강원특별자치도 인제군,4020,102
강원특별자치도 인제군,8001,539
강원특별자치도 인제군,8004,9
강원특별자치도 인제군,8005,28
강원특별자치도 인제군,8006,150
강원특별자치도 인제군,8021,94
강원특별자치도 인제군,8301,25
강원특별자치도 정선군,4010,75
강원특별자치도 정선군,4020,146
강원특별자치도 정선군,8001,589
강원특별자치도 정선군,8004,9
강원특별자치도 정선군,8005,31
강원특별자치도 정선군,8006,171
강원특별자치도 정선군,8021,107
강원특별자치도 정선군,8301,38
강원특별자치도 철원군,4010,57
강원특별자치도 철원군,4020,86
강원특별자치도 철원군,8001,563
강원특별자치도 철원군,8004,14
강원특별자치도 철원군,8005,44
강원특별자치도 철원군,8006,179
강원특별자치도 철원군,8021,94
강원특별자치도 철원군,8301,26
강원특별자치도 춘천시,4010,373
강원특별자치도 춘천시,4020,369
강원특별자치도 춘천시,8001,2777
강원특별자치도 춘천시,8004,134
강원특별자치도 춘천시,8005,222
강원특별자치도 춘천시,8006,1147
강원특별자치도 춘천시,8021,569
강원특별자치도 춘천시,8301,301
강원특별자치도 태백시,4010,58
강원특별자치도 태백시,4020,89
강원특별자치도 태백시,8001,488
강원특별자치도 태백시,8004,8
강원특별자치도 태백시,8005,32
강원특별자치도 태백시,8006,137
강원특별자치도 태백시,8021,81
강원특별자치도 태백시,8301,30
강원특별자치도 평창군,4010,78
강원특별자치도 평창군,4020,118
강원특별자치도 평창군,8001,740
강원특별자치도 평창군,8004,11
강원특별자치도 평창군,8005,32
강원특별자치도 평창군,8006,227
강원특별자치도 평창군,8021,127
강원특별자치도 평창군,8301,42
강원특별자치도 홍천군,4010,83
강원특별자치도 홍천군,4020,181
강원특별자치도 홍천군,8001,871
강원특별자치도 홍천군,8004,13
강원특별자치도 홍천군,8005,62
강원특별자치도 홍천군,8006,266
강원특별자치도 홍천군,8021,139
강원특별자치도 홍천군,8301,74
강원특별자치도 화천군,4010,33
강원특별자치도 화천군,4020,59
강원특별자치도 화천군,8001,320
