행정구역명,행정구역코드,STRD_YYMM,GENDER_CD,AGE_CD,인구
강원특별자치도 고성군,5182000000,202603,1,4,1496
강원특별자치도 고성군,5182000000,202603,1,5,2463
강원특별자치도 고성군,5182000000,202603,1,6,5734
강원특별자치도 고성군,5182000000,202603,2,1,1317
강원특별자치도 고성군,5182000000,202603,2,2,858
강원특별자치도 고성군,5182000000,202603,2,3,1043
강원특별자치도 고성군,5182000000,202603,2,4,1255
강원특별자치도 고성군,5182000000,202603,2,5,2035
강원특별자치도 고성군,5182000000,202603,2,6,6712
강원특별자치도 고성군,5182000000,202604,1,1,1475
강원특별자치도 고성군,5182000000,202604,1,2,1296
강원특별자치도 고성군,5182000000,202604,1,3,1412
강원특별자치도 고성군,5182000000,202604,1,4,1501
강원특별자치도 고성군,5182000000,202604,1,5,2463
강원특별자치도 고성군,5182000000,202604,1,6,5765
강원특별자치도 고성군,5182000000,202604,2,1,1323
강원특별자치도 고성군,5182000000,202604,2,2,862
강원특별자치도 고성군,5182000000,202604,2,3,1050
강원특별자치도 고성군,5182000000,202604,2,4,1262
강원특별자치도 고성군,5182000000,202604,2,5,2044
강원특별자치도 고성군,5182000000,202604,2,6,6719
강원특별자치도 고성군,5182000000,202605,1,1,1460
강원특별자치도 고성군,5182000000,202605,1,2,1305
강원특별자치도 고성군,5182000000,202605,1,3,1419
강원특별자치도 고성군,5182000000,202605,1,4,1502
강원특별자치도 고성군,5182000000,202605,1,5,2455
강원특별자치도 고성군,5182000000,202605,1,6,5781
강원특별자치도 고성군,5182000000,202605,2,1,1330
강원특별자치도 고성군,5182000000,202605,2,2,852
강원특별자치도 고성군,5182000000,202605,2,3,1061
강원특별자치도 고성군,5182000000,202605,2,4,1258
강원특별자치도 고성군,5182000000,202605,2,5,2036
강원특별자치도 고성군,5182000000,202605,2,6,6730
강원특별자치도 고성군,5182000000,202606,1,1,1469
강원특별자치도 고성군,5182000000,202606,1,2,1301
강원특별자치도 고성군,5182000000,202606,1,3,1422
강원특별자치도 고성군,5182000000,202606,1,4,1503
강원특별자치도 고성군,5182000000,202606,1,5,2450
강원특별자치도 고성군,5182000000,202606,1,6,5791
강원특별자치도 고성군,5182000000,202606,2,1,1329
강원특별자치도 고성군,5182000000,202606,2,2,847
강원특별자치도 고성군,5182000000,202606,2,3,1064
강원특별자치도 고성군,5182000000,202606,2,4,1269
강원특별자치도 고성군,5182000000,202606,2,5,2033
강원특별자치도 고성군,5182000000,202606,2,6,6726
강원특별자치도 동해시,5117000000,202601,1,1,6444
강원특별자치도 동해시,5117000000,202601,1,2,4464
강원특별자치도 동해시,5117000000,202601,1,3,4506
강원특별자치도 동해시,5117000000,202601,1,4,6056
강원특별자치도 동해시,5117000000,202601,1,5,8385
강원특별자치도 동해시,5117000000,202601,1,6,13921
강원특별자치도 동해시,5117000000,202601,2,1,6027
강원특별자치도 동해시,5117000000,202601,2,2,3112
강원특별자치도 동해시,5117000000,202601,2,3,3534
강원특별자치도 동해시,5117000000,202601,2,4,5797
강원특별자치도 동해시,5117000000,202601,2,5,7564
강원특별자치도 동해시,5117000000,202601,2,6,16415
강원특별자치도 동해시,5117000000,202602,1,1,6416
강원특별자치도 동해시,5117000000,202602,1,2,4440
강원특별자치도 동해시,5117000000,202602,1,3,4492
강원특별자치도 동해시,5117000000,202602,1,4,6049
강원특별자치도 동해시,5117000000,202602,1,5,8359
강원특별자치도 동해시,5117000000,202602,1,6,13924
강원특별자치도 동해시,5117000000,202602,2,1,5994
강원특별자치도 동해시,5117000000,202602,2,2,3085
강원특별자치도 동해시,5117000000,202602,2,3,3535
강원특별자치도 동해시,5117000000,202602,2,4,5766
강원특별자치도 동해시,5117000000,202602,2,5,7554
강원특별자치도 동해시,5117000000,202602,2,6,16448
강원특별자치도 동해시,5117000000,202603,1,1,6384
강원특별자치도 동해시,5117000000,202603,1,2,4372
강원특별자치도 동해시,5117000000,202603,1,3,4486
강원특별자치도 동해시,5117000000,202603,1,4,6011
강원특별자치도 동해시,5117000000,202603,1,5,8316
강원특별자치도 동해시,5117000000,202603,1,6,13981
강원특별자치도 동해시,5117000000,202603,2,1,5947
강원특별자치도 동해시,5117000000,202603,2,2,3045
강원특별자치도 동해시,5117000000,202603,2,3,3549
강원특별자치도 동해시,5117000000,202603,2,4,5745
강원특별자치도 동해시,5117000000,202603,2,5,7531
강원특별자치도 동해시,5117000000,202603,2,6,16508
강원특별자치도 동해시,5117000000,202604,1,1,6365
강원특별자치도 동해시,5117000000,202604,1,2,4331
강원특별자치도 동해시,5117000000,202604,1,3,4507
강원특별자치도 동해시,5117000000,202604,1,4,5967
강원특별자치도 동해시,5117000000,202604,1,5,8282
강원특별자치도 동해시,5117000000,202604,1,6,14010
강원특별자치도 동해시,5117000000,202604,2,1,5940
강원특별자치도 동해시,5117000000,202604,2,2,3037
강원특별자치도 동해시,5117000000,202604,2,3,3547
강원특별자치도 동해시,5117000000,202604,2,4,5724
강원특별자치도 동해시,5117000000,202604,2,5,7511
강원특별자치도 동해시,5117000000,202604,2,6,16537
강원특별자치도 동해시,5117000000,202605,1,1,6345
강원특별자치도 동해시,5117000000,202605,1,2,4274
강원특별자치도 동해시,5117000000,202605,1,3,4502
강원특별자치도 동해시,5117000000,202605,1,4,5954
강원특별자치도 동해시,5117000000,202605,1,5,8261
강원특별자치도 동해시,5117000000,202605,1,6,14023
강원특별자치도 동해시,5117000000,202605,2,1,5914
강원특별자치도 동해시,5117000000,202605,2,2,3001
강원특별자치도 동해시,5117000000,202605,2,3,3561
강원특별자치도 동해시,5117000000,202605,2,4,5696
강원특별자치도 동해시,5117000000,202605,2,5,7501
강원특별자치도 동해시,5117000000,202605,2,6,16576
강원특별자치도 동해시,5117000000,202606,1,1,6343
강원특별자치도 동해시,5117000000,202606,1,2,4263
강원특별자치도 동해시,5117000000,202606,1,3,4495
강원특별자치도 동해시,5117000000,202606,1,4,5972
강원특별자치도 동해시,5117000000,202606,1,5,8265
강원특별자치도 동해시,5117000000,202606,1,6,14024
강원특별자치도 동해시,5117000000,202606,2,1,5909
강원특별자치도 동해시,5117000000,202606,2,2,2980
강원특별자치도 동해시,5117000000,202606,2,3,3563
강원특별자치도 동해시,5117000000,202606,2,4,5689
강원특별자치도 동해시,5117000000,202606,2,5,7490
강원특별자치도 동해시,5117000000,202606,2,6,16596
강원특별자치도 삼척시,5123000000,202601,1,1,3702
강원특별자치도 삼척시,5123000000,202601,1,2,3317
강원특별자치도 삼척시,5123000000,202601,1,3,2555
강원특별자치도 삼척시,5123000000,202601,1,4,3644
강원특별자치도 삼척시,5123000000,202601,1,5,5901
강원특별자치도 삼척시,5123000000,202601,1,6,11667
강원특별자치도 삼척시,5123000000,202601,2,1,3462
강원특별자치도 삼척시,5123000000,202601,2,2,2440
강원특별자치도 삼척시,5123000000,202601,2,3,2100
강원특별자치도 삼척시,5123000000,202601,2,4,3185
강원특별자치도 삼척시,5123000000,202601,2,5,4623
강원특별자치도 삼척시,5123000000,202601,2,6,13711
강원특별자치도 삼척시,5123000000,202602,1,1,3681
강원특별자치도 삼척시,5123000000,202602,1,2,3278
