행정구역명,행정구역코드,구분수준,STRD_YYMM,총인구수,20대이하_인구,20대_인구,30대_인구,40대_인구,50대_인구,60대이상_인구
인천광역시 동구,2814000000,시군구,202601,56469.0,6469.0,5220.0,6177.0,7880.0,9623.0,21100.0
인천광역시 미추홀구,2817700000,시군구,202601,417198.0,55309.0,48719.0,58530.0,62509.0,68826.0,123305.0
인천광역시 연수구,2818500000,시군구,202601,409814.0,80239.0,45113.0,57080.0,71097.0,68298.0,87987.0
인천광역시 남동구,2820000000,시군구,202601,480148.0,67819.0,53850.0,60764.0,72714.0,84620.0,140381.0
인천광역시 부평구,2823700000,시군구,202601,490227.0,64288.0,54502.0,73901.0,70490.0,83566.0,143480.0
인천광역시 계양구,2824500000,시군구,202601,277636.0,33146.0,31441.0,37219.0,37275.0,52535.0,86020.0
인천광역시 서구,2826000000,시군구,202601,655469.0,120492.0,69633.0,101951.0,113493.0,107642.0,142258.0
인천광역시 강화군,2871000000,시군구,202601,69698.0,6771.0,4136.0,4841.0,6936.0,10709.0,36305.0
인천광역시 옹진군,2872000000,시군구,202601,19559.0,1404.0,2161.0,1623.0,1882.0,3076.0,9413.0
광주광역시,2900000000,시도,202601,1390658.0,229370.0,169719.0,173471.0,212116.0,240961.0,365021.0
광주광역시 동구,2911000000,시군구,202601,104794.0,14182.0,13331.0,14194.0,14051.0,15460.0,33576.0
광주광역시 서구,2914000000,시군구,202601,275318.0,41177.0,35596.0,33863.0,40393.0,49521.0,74768.0
광주광역시 남구,2915500000,시군구,202601,207236.0,35696.0,21480.0,22981.0,32230.0,32774.0,62075.0
광주광역시 북구,2917000000,시군구,202601,416262.0,64868.0,49107.0,52839.0,61097.0,70953.0,117398.0
광주광역시 광산구,2920000000,시군구,202601,387048.0,73447.0,50205.0,49594.0,64345.0,72253.0,77204.0
대전광역시,3000000000,시도,202601,1440550.0,222061.0,186923.0,195029.0,208676.0,242636.0,385225.0
대전광역시 동구,3011000000,시군구,202601,218109.0,29276.0,27678.0,25285.0,29163.0,36310.0,70397.0
대전광역시 중구,3014000000,시군구,202601,225423.0,31283.0,25063.0,26326.0,30957.0,38622.0,73172.0
대전광역시 서구,3017000000,시군구,202601,463443.0,73703.0,63282.0,65437.0,69242.0,77109.0,114670.0
대전광역시 유성구,3020000000,시군구,202601,368354.0,66979.0,52132.0,58479.0,58108.0,58875.0,73781.0
대전광역시 대덕구,3023000000,시군구,202601,165221.0,20820.0,18768.0,19502.0,21206.0,31720.0,53205.0
울산광역시,3100000000,시도,202601,1091281.0,176604.0,110215.0,136754.0,168593.0,198158.0,300957.0
울산광역시 중구,3111000000,시군구,202601,203968.0,30468.0,18954.0,24526.0,29662.0,36468.0,63890.0
울산광역시 남구,3114000000,시군구,202601,304542.0,45672.0,34377.0,42097.0,44559.0,56085.0,81752.0
울산광역시 동구,3117000000,시군구,202601,148986.0,25407.0,14229.0,17034.0,26004.0,24238.0,42074.0
울산광역시 북구,3120000000,시군구,202601,214819.0,42529.0,21260.0,29357.0,37682.0,38138.0,45853.0
울산광역시 울주군,3171000000,시군구,202601,218966.0,32528.0,21395.0,23740.0,30686.0,43229.0,67388.0
세종특별자치시,3600000000,시도,202601,391477.0,92486.0,36390.0,57600.0,76127.0,59382.0,69492.0
세종특별자치시,3611000000,시도,202601,391477.0,92486.0,36390.0,57600.0,76127.0,59382.0,69492.0
경기도,4100000000,시도,202601,13736642.0,2213140.0,1551620.0,1925571.0,2180076.0,2361312.0,3504923.0
경기도 수원시,4111000000,시군구,202601,1186010.0,182881.0,161222.0,187823.0,184195.0,200634.0,269255.0
경기도 수원시 장안구,4111100000,시군구,202601,270954.0,38753.0,37676.0,35531.0,38276.0,49539.0,71179.0
경기도 수원시 권선구,4111300000,시군구,202601,360806.0,52822.0,44806.0,57518.0,56219.0,61285.0,88156.0
경기도 수원시 팔달구,4111500000,시군구,202601,191972.0,23412.0,27758.0,32232.0,26497.0,31867.0,50206.0
경기도 수원시 영통구,4111700000,시군구,202601,362278.0,67894.0,50982.0,62542.0,63203.0,57943.0,59714.0
경기도 성남시,4113000000,시군구,202601,906160.0,135381.0,105035.0,134443.0,140999.0,150778.0,239524.0
경기도 성남시 수정구,4113100000,시군구,202601,233273.0,28857.0,27869.0,35876.0,33953.0,38268.0,68450.0
경기도 성남시 중원구,4113300000,시군구,202601,203016.0,24059.0,23614.0,31046.0,28931.0,33667.0,61699.0
경기도 성남시 분당구,4113500000,시군구,202601,469871.0,82465.0,53552.0,67521.0,78115.0,78843.0,109375.0
경기도 의정부시,4115000000,시군구,202601,461541.0,66438.0,53420.0,60719.0,67626.0,81847.0,131491.0
경기도 안양시,4117000000,시군구,202601,563348.0,84339.0,63727.0,86854.0,83113.0,94296.0,151019.0
경기도 안양시 만안구,4117100000,시군구,202601,233633.0,28698.0,26744.0,35111.0,31370.0,39302.0,72408.0
경기도 안양시 동안구,4117300000,시군구,202601,329715.0,55641.0,36983.0,51743.0,51743.0,54994.0,78611.0
경기도 부천시,4119000000,시군구,202601,758212.0,100397.0,84964.0,104076.0,111019.0,132681.0,225075.0
경기도 부천시 원미구,4119200000,시군구,202601,384011.0,51408.0,45329.0,55129.0,56716.0,66567.0,108862.0
경기도 부천시 소사구,4119400000,시군구,202601,225290.0,32815.0,22556.0,30164.0,35242.0,37035.0,67478.0
경기도 부천시 오정구,4119600000,시군구,202601,148911.0,16174.0,17079.0,18783.0,19061.0,29079.0,48735.0
경기도 광명시,4121000000,시군구,202601,297468.0,46520.0,32901.0,43209.0,46240.0,51053.0,77545.0
경기도 평택시,4122000000,시군구,202601,612095.0,105403.0,72262.0,99674.0,101074.0,101813.0,131869.0
경기도 동두천시,4125000000,시군구,202601,86331.0,10939.0,8456.0,8335.0,11133.0,15776.0,31692.0
경기도 안산시,4127000000,시군구,202601,611860.0,81692.0,81787.0,82942.0,84771.0,120560.0,160108.0
경기도 안산시 상록구,4127100000,시군구,202601,322329.0,42049.0,44160.0,40890.0,44013.0,64887.0,86330.0
경기도 안산시 단원구,4127300000,시군구,202601,289531.0,39643.0,37627.0,42052.0,40758.0,55673.0,73778.0
경기도 고양시,4128000000,시군구,202601,1059998.0,157105.0,119370.0,144307.0,157661.0,194437.0,287118.0
경기도 고양시 덕양구,4128100000,시군구,202601,485174.0,71587.0,51272.0,70836.0,74338.0,84079.0,133062.0
경기도 고양시 일산동구,4128500000,시군구,202601,297178.0,43058.0,35534.0,40711.0,43654.0,55696.0,78525.0
경기도 고양시 일산서구,4128700000,시군구,202601,277646.0,42460.0,32564.0,32760.0,39669.0,54662.0,75531.0
경기도 과천시,4129000000,시군구,202601,79951.0,16334.0,8097.0,12151.0,12889.0,11895.0,18585.0
경기도 구리시,4131000000,시군구,202601,186118.0,26276.0,21261.0,25299.0,27941.0,33419.0,51922.0
경기도 남양주시,4136000000,시군구,202601,729552.0,124864.0,76474.0,84293.0,119554.0,130628.0,193739.0
경기도 오산시,4137000000,시군구,202601,250128.0,45058.0,28664.0,40390.0,46587.0,41162.0,48267.0
경기도 시흥시,4139000000,시군구,202601,514778.0,90029.0,57317.0,74074.0,89030.0,92607.0,111721.0
경기도 군포시,4141000000,시군구,202601,251038.0,34483.0,29774.0,34192.0,35313.0,45180.0,72096.0
경기도 의왕시,4143000000,시군구,202601,160842.0,24394.0,17588.0,24365.0,22345.0,26896.0,45254.0
경기도 하남시,4145000000,시군구,202601,328048.0,59999.0,33088.0,48995.0,59807.0,49752.0,76407.0
경기도 용인시,4146000000,시군구,202601,1090978.0,192982.0,126887.0,137786.0,180594.0,192752.0,259977.0
경기도 용인시 처인구,4146100000,시군구,202601,282534.0,43818.0,32018.0,37369.0,44306.0,49415.0,75608.0
경기도 용인시 기흥구,4146300000,시군구,202601,434484.0,75666.0,53020.0,52248.0,70504.0,80061.0,102985.0
경기도 용인시 수지구,4146500000,시군구,202601,373960.0,73498.0,41849.0,48169.0,65784.0,63276.0,81384.0
경기도 파주시,4148000000,시군구,202601,527182.0,93875.0,54636.0,73318.0,87709.0,89084.0,128560.0
경기도 이천시,4150000000,시군구,202601,222879.0,34905.0,26508.0,31212.0,33495.0,36913.0,59846.0
경기도 안성시,4155000000,시군구,202601,196679.0,27915.0,21705.0,23601.0,29007.0,34087.0,60364.0
경기도 김포시,4157000000,시군구,202601,484694.0,93749.0,46178.0,62371.0,91282.0,76743.0,114371.0
경기도 화성시,4159000000,시군구,202601,991092.0,206615.0,108950.0,164190.0,186562.0,151739.0,173036.0
경기도 화성시 만세구,4159100000,시군구,202601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도 화성시 효행구,4159300000,시군구,202601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도 화성시 병점구,4159500000,시군구,202601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도 화성시 동탄구,4159700000,시군구,202601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도 광주시,4161000000,시군구,202601,397364.0,62764.0,38214.0,51543.0,67167.0,70116.0,107560.0
경기도 양주시,4163000000,시군구,202601,296463.0,51559.0,30868.0,40249.0,46652.0,50164.0,76971.0
경기도 포천시,4165000000,시군구,202601,140461.0,15437.0,13977.0,13834.0,15552.0,26076.0,55585.0
경기도 여주시,4167000000,시군구,202601,113885.0,14166.0,9848.0,11323.0,14545.0,19980.0,44023.0
경기도 연천군,4180000000,시군구,202601,42475.0,4620.0,4273.0,4162.0,4203.0,6482.0,18735.0
경기도 가평군,4182000000,시군구,202601,62026.0,6512.0,5251.0,5359.0,6750.0,10480.0,27674.0
경기도 양평군,4183000000,시군구,202601,126986.0,15509.0,8918.0,10482.0,15261.0,21282.0,55534.0
충청북도,4300000000,시도,202601,1596749.0,235926.0,166306.0,193232.0,221367.0,271421.0,508497.0
충청북도 청주시,4311000000,시군구,202601,856629.0,142488.0,102185.0,122906.0,130303.0,142468.0,216279.0
충청북도 청주시 상당구,4311100000,시군구,202601,194463.0,32521.0,20025.0,23854.0,28765.0,33735.0,55563.0
충청북도 청주시 서원구,4311200000,시군구,202601,183007.0,26257.0,23954.0,21987.0,24520.0,32859.0,53430.0
