table,STRD_YYMM,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계
table2_회원은행포함,202601,6339676.0,1764369.0,3833887.0,12434681.0,12897352.0,4652307.0,4175726.0,11587995.0,9915434.0,4592470.0,72193897.0
table2_회원은행포함,202602,5604984.0,1603573.0,3463138.0,11627129.0,11623525.0,4339160.0,3811117.0,10683577.0,9112073.0,4202752.0,66071028.0
table2_회원은행포함,202603,6187737.0,1729543.0,3728870.0,12759757.0,12715350.0,4846390.0,4355006.0,11993343.0,10259270.0,4780681.0,73355947.0
table2_회원은행포함,202604,5949302.0,1730707.0,3572540.0,12148487.0,12440527.0,4748179.0,4070104.0,11319437.0,9843841.0,4635488.0,70458612.0
table2_회원은행포함,202605,6191453.0,1753207.0,3616831.0,12585480.0,12761177.0,4978781.0,4212478.0,11673956.0,10196310.0,4768395.0,72738068.0
table2_회원은행포함,202606,6080390.0,1701389.0,3421632.0,12587218.0,12605802.0,4843530.0,4227128.0,11630545.0,10044243.0,4594464.0,71736341.0
