table,STRD_YYMM,롯데카드,비씨카드(자체),삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,합계
table1_전업8개사,202601,6339676.0,406729.0,12434681.0,12897352.0,4652307.0,4175726.0,11587995.0,9915434.0,62409900.0
table1_전업8개사,202602,5604984.0,374894.0,11627129.0,11623525.0,4339160.0,3811117.0,10683577.0,9112073.0,57176459.0
table1_전업8개사,202603,6187737.0,371121.0,12759757.0,12715350.0,4846390.0,4355006.0,11993343.0,10259270.0,63487974.0
table1_전업8개사,202604,5949302.0,405361.0,12148487.0,12440527.0,4748179.0,4070104.0,11319437.0,9843841.0,60925238.0
table1_전업8개사,202605,6191453.0,389983.0,12585480.0,12761177.0,4978781.0,4212478.0,11673956.0,10196310.0,62989618.0
table1_전업8개사,202606,6080390.0,387658.0,12587218.0,12605802.0,4843530.0,4227128.0,11630545.0,10044243.0,62406514.0
